usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,acceptedUsageKey
8014366,Eucalyptus perriniana Herb.Perrin ex Maiden,Eucalyptus perriniana,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus perriniana,6,7707728,220,690,5014,7493935,8014366,FALSE,Magnoliopsida,Eucalyptus perriniana,NA
3176406,Eucalyptus platypus Hook.,Eucalyptus platypus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus platypus,6,7707728,220,690,5014,7493935,3176406,FALSE,Magnoliopsida,Eucalyptus platypus,NA
3176703,Eucalyptus polyanthemos Schauer,Eucalyptus polyanthemos,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus polyanthemos,6,7707728,220,690,5014,7493935,3176703,FALSE,Magnoliopsida,Eucalyptus polyanthemos,NA
3176982,Eucalyptus pulchella Desf.,Eucalyptus pulchella,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus pulchella,6,7707728,220,690,5014,7493935,3176982,FALSE,Magnoliopsida,Eucalyptus pulchella,NA
3176743,Eucalyptus robusta Sm.,Eucalyptus robusta,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus robusta,6,7707728,220,690,5014,7493935,3176743,FALSE,Magnoliopsida,Eucalyptus robusta,NA
3177119,Eucalyptus rudis Endl.,Eucalyptus rudis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus rudis,6,7707728,220,690,5014,7493935,3177119,FALSE,Magnoliopsida,Eucalyptus rudis,NA
3177224,Eucalyptus saligna Sm.,Eucalyptus saligna,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus saligna,6,7707728,220,690,5014,7493935,3177224,FALSE,Magnoliopsida,Eucalyptus saligna,NA
3177189,Eucalyptus sideroxylon A.Cunn. ex Woolls,Eucalyptus sideroxylon,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus sideroxylon,6,7707728,220,690,5014,7493935,3177189,FALSE,Magnoliopsida,Eucalyptus sideroxylon,NA
3176390,Eucalyptus spathulata Hook.,Eucalyptus spathulata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus spathulata,6,7707728,220,690,5014,7493935,3176390,FALSE,Magnoliopsida,Eucalyptus spathulata,NA
3176835,Eucalyptus torquata Luehm.,Eucalyptus torquata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus torquata,6,7707728,220,690,5014,7493935,3176835,FALSE,Magnoliopsida,Eucalyptus torquata,NA
