usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,verbatim_kingdom,tree_id,displayed_scientific_name,taxonomic_level
3012167,Sorbus aucuparia L.,Sorbus aucuparia,SPECIES,ACCEPTED,85,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Sorbus,Sorbus aucuparia,6,7707728,220,691,5015,3012146,3012167,FALSE,Magnoliopsida,Sorbus aucuparia 'Autumn Spire',plants,1735,Sorbus aucuparia 'Autumn Spire',horticulture
2684171,Thuja plicata Donn ex D.Don,Thuja plicata,SPECIES,ACCEPTED,87,EXACT,Plantae,Tracheophyta,Pinales,Cupressaceae,Thuja,Thuja plicata,6,7707728,194,640,8144,2684168,2684171,FALSE,Pinopsida,Thuja plicata 'Zebrina',plants,1736,Thuja plicata 'Zebrina',horticulture
7141604,Ulmus ×hollandica Mill.,Ulmus hollandica,SPECIES,ACCEPTED,87,EXACT,Plantae,Tracheophyta,Rosales,Ulmaceae,Ulmus,Ulmus hollandica,6,7707728,220,691,2382,2984510,7141604,FALSE,Magnoliopsida,Ulmus ×hollandica 'Jacqueline Hillier',plants,1737,Ulmus &times hollandica 'Jacqueline Hillier',horticulture
5284745,Picea glauca (Moench) Voss,Picea glauca,SPECIES,ACCEPTED,85,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Picea,Picea glauca,6,7707728,194,640,3925,7606064,5284745,FALSE,Pinopsida,Picea glauca 'Densata',plants,1738,Picea glauca 'Densata',horticulture
11877079,Eucalyptus lunata D.Nicolle & M.E.French,Eucalyptus lunata,SPECIES,ACCEPTED,88,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus lunata,6,7707728,220,690,5014,7493935,11877079,FALSE,Magnoliopsida,Eucalyptus lunata 'Moon Lagoon',plants,1739,Eucalyptus lunata 'Moon Lagoon',horticulture
5361930,Ficus pumila L.,Ficus pumila,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus pumila,6,7707728,220,691,6640,2984588,5361930,FALSE,Magnoliopsida,Ficus pumila,plants,1740,Ficus pumila,species
5415772,Melaleuca squamophloia (Byrnes) Craven,Melaleuca squamophloia,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Melaleuca,Melaleuca squamophloia,6,7707728,220,690,5014,3175449,5415772,FALSE,Magnoliopsida,Melaleuca squamophloia,plants,1741,Melaleuca squamophloia,species
2980853,Acacia koaia Hillebr.,Acacia koaia,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia koa,6,7707728,220,1370,5386,2978223,2980514,TRUE,Magnoliopsida,Acacia koaia,plants,1742,Acacia koaia,species
2981159,Acacia paradoxa DC.,Acacia paradoxa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia paradoxa,6,7707728,220,1370,5386,2978223,2981159,FALSE,Magnoliopsida,Acacia paradoxa,plants,1743,Acacia paradoxa,species
3768305,Acer henryi Pax,Acer henryi,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Sapindales,Sapindaceae,Acer,Acer henryi,6,7707728,220,933,6657,3189834,3768305,FALSE,Magnoliopsida,Acer henryi,plants,1744,Acer henryi,species
2953031,Bauhinia tomentosa L.,Bauhinia tomentosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Bauhinia,Bauhinia tomentosa,6,7707728,220,1370,5386,2952935,2953031,FALSE,Magnoliopsida,Bauhinia tomentosa,plants,1745,Bauhinia tomentosa,species
5332231,Betula ermanii Cham.,Betula ermanii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Fagales,Betulaceae,Betula,Betula ermanii,6,7707728,220,1354,4688,2875008,5332231,FALSE,Magnoliopsida,Betula ermanii,plants,1746,Betula ermanii,species
7323082,Brachychiton australis (Schott & Endl.) A.Terracc.,Brachychiton australis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Malvales,Malvaceae,Brachychiton,Brachychiton australis,6,7707728,220,941,6685,3152191,7323082,FALSE,Magnoliopsida,Brachychiton australis,plants,1747,Brachychiton australis,species
2875893,Carpinus cordata Blume,Carpinus cordata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Fagales,Betulaceae,Carpinus,Carpinus cordata,6,7707728,220,1354,4688,2875770,2875893,FALSE,Magnoliopsida,Carpinus cordata,plants,1748,Carpinus cordata,species
7327453,Carpinus turczaninovii Hance,Carpinus turczaninovii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Fagales,Betulaceae,Carpinus,Carpinus turczaninovii,6,7707728,220,1354,4688,2875770,7327453,FALSE,Magnoliopsida,Carpinus turczaninovii,plants,1749,Carpinus turczaninovii,species
3033987,Cinnamomum verum J.Presl,Cinnamomum verum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Laurales,Lauraceae,Cinnamomum,Cinnamomum verum,6,7707728,220,407,6688,3033980,3033987,FALSE,Magnoliopsida,Cinnamomum verum,plants,1750,Cinnamomum verum,species
5415958,Melaleuca cuticularis Labill.,Melaleuca cuticularis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Melaleuca,Melaleuca cuticularis,6,7707728,220,690,5014,3175449,5415958,FALSE,Magnoliopsida,Melaleuca cuticularis,plants,1751,Melaleuca cuticularis,species
7493935,Eucalyptus L'Hér.,Eucalyptus,GENUS,ACCEPTED,80,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,NA,6,7707728,220,690,5014,7493935,NA,FALSE,Magnoliopsida,Eucalyptus ×'Torwood',plants,1752,Eucalyptus &times 'Torwood',horticulture
3718199,Clethra barbinervis Siebold & Zucc.,Clethra barbinervis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Clethraceae,Clethra,Clethra barbinervis,6,7707728,220,1353,6707,2888321,3718199,FALSE,Magnoliopsida,Clethra barbinervis,plants,1753,Clethra barbinervis,species
3032980,Diospyros lotus L.,Diospyros lotus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Ericales,Ebenaceae,Diospyros,Diospyros lotus,6,7707728,220,1353,6709,3030169,3032980,FALSE,Magnoliopsida,Diospyros lotus,plants,1754,Diospyros lotus,species
3177078,Eucalyptus pleurocarpa Schauer,Eucalyptus pleurocarpa,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tetragona,6,7707728,220,690,5014,7493935,3176512,TRUE,Magnoliopsida,Eucalyptus pleurocarpa,plants,1755,Eucalyptus pleurocarpa,species
3070041,Euphorbia ingens E.Mey. ex Boiss.,Euphorbia ingens,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia ingens,6,7707728,220,1414,4691,11397237,3070041,FALSE,Magnoliopsida,Euphorbia ingens,plants,1756,Euphorbia ingens,species
2959509,Gleditsia sinensis Lam.,Gleditsia sinensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Gleditsia,Gleditsia sinensis,6,7707728,220,1370,5386,2959442,2959509,FALSE,Magnoliopsida,Gleditsia sinensis,plants,1757,Gleditsia sinensis,species
2684155,Glyptostrobus pensilis (Staunton ex D.Don) K.Koch,Glyptostrobus pensilis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Pinales,Cupressaceae,Glyptostrobus,Glyptostrobus pensilis,6,7707728,194,640,8144,2684154,2684155,FALSE,Pinopsida,Glyptostrobus pensilis,plants,1758,Glyptostrobus pensilis,species
2684709,Juniperus communis L.,Juniperus communis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Cupressaceae,Juniperus,Juniperus communis,6,7707728,194,640,8144,2684359,2684709,FALSE,Pinopsida,Juniperus communis,plants,1759,Juniperus communis,species
3190508,Khaya senegalensis (Desv.) A.Juss.,Khaya senegalensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Sapindales,Meliaceae,Khaya,Khaya senegalensis,6,7707728,220,933,2397,3190507,3190508,FALSE,Magnoliopsida,Khaya senegalensis,plants,1760,Khaya senegalensis,species
6069268,Polyscias racemosa (C.N.Forbes) Lowry & G.M.Plunkett,Polyscias racemosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Apiales,Araliaceae,Polyscias,Polyscias racemosa,6,7707728,220,1351,8800,3035574,6069268,FALSE,Magnoliopsida,Polyscias racemosa,plants,1761,Polyscias racemosa,species
8288647,Pterocarya fraxinifolia (Poir.) Spach,Pterocarya fraxinifolia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fagales,Juglandaceae,Pterocarya,Pterocarya fraxinifolia,6,7707728,220,1354,2499,3054376,8288647,FALSE,Magnoliopsida,Pterocarya fraxinifolia,plants,1762,Pterocarya fraxinifolia,species
2888625,Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.,Viburnum rhytidophyllum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum rhytidophyllum,6,7707728,220,946,4924416,2888580,2888625,FALSE,Magnoliopsida,Viburnum rhytidophyllum,plants,1763,Viburnum rhytidophyllum,species
6358362,Scaevola taccada (Gaertn.) Roxb.,Scaevola taccada,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asterales,Goodeniaceae,Scaevola,Scaevola taccada,6,7707728,220,414,3113,3158673,6358362,FALSE,Magnoliopsida,Scaevola taccada,plants,1764,Scaevola taccada,species
5415502,Melaleuca salicina Craven,Melaleuca salicina,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Callistemon,Callistemon salignus,6,7707728,220,690,5014,3173347,3173480,TRUE,Magnoliopsida,Melaleuca salicina,plants,1765,Melaleuca salicina,species
7266360,Populus lasiocarpa Oliv.,Populus lasiocarpa,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Malpighiales,Salicaceae,Populus,Populus lasiocarpa,6,7707728,220,1414,6664,3040183,7266360,FALSE,Magnoliopsida,Populus lasiocarpa,plants,1766,Populus lasiocarpa,species
3040249,Populus tremula L.,Populus tremula,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Malpighiales,Salicaceae,Populus,Populus tremula,6,7707728,220,1414,6664,3040183,3040249,FALSE,Magnoliopsida,Populus tremula,plants,1767,Populus tremula,species
8151172,Pyrus nivalis Jacq.,Pyrus nivalis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Pyrus,Pyrus nivalis,6,7707728,220,691,5015,2986532,8151172,FALSE,Magnoliopsida,Pyrus nivalis,plants,1768,Pyrus nivalis,species
7930013,Quercus castaneifolia C.A.Mey.,Quercus castaneifolia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus castaneifolia,6,7707728,220,1354,4689,2877951,7930013,FALSE,Magnoliopsida,Quercus castaneifolia,plants,1769,Quercus castaneifolia,species
9755562,Karpatiosorbus Sennikov & Kurtto,Karpatiosorbus,GENUS,ACCEPTED,99,HIGHERRANK,Plantae,Tracheophyta,Rosales,Rosaceae,Karpatiosorbus,NA,6,7707728,220,691,5015,9755562,NA,FALSE,Magnoliopsida,Sorbus latifolia,plants,1770,Sorbus latifolia,species
2928366,Wigandia urens (Ruiz & Pav.) Kunth,Wigandia urens,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Boraginales,Namaceae,Wigandia,Wigandia urens,6,7707728,220,7226464,10411378,9080871,2928366,FALSE,Magnoliopsida,Wigandia urens,plants,1771,Wigandia urens,species
3012350,Sorbus decora (Sarg.) C.K.Schneid.,Sorbus decora,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Sorbus,Sorbus decora,6,7707728,220,691,5015,3012146,3012350,FALSE,Magnoliopsida,Sorbus decora,plants,1772,Sorbus decora,species
3012637,Sorbus foliolosa (Wall.) Spach,Sorbus foliolosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Sorbus,Sorbus foliolosa,6,7707728,220,691,5015,3012146,3012637,FALSE,Magnoliopsida,Sorbus foliolosa,plants,1773,Sorbus foliolosa,species
3013046,Sorbus sargentiana Koehne,Sorbus sargentiana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Sorbus,Sorbus sargentiana,6,7707728,220,691,5015,3012146,3013046,FALSE,Magnoliopsida,Sorbus sargentiana,plants,1774,Sorbus sargentiana,species
4205377,Pterocarya hupehensis Skan,Pterocarya hupehensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Fagales,Juglandaceae,Pterocarya,Pterocarya hupehensis,6,7707728,220,1354,2499,3054376,4205377,FALSE,Magnoliopsida,Pterocarya hupehensis,plants,1775,Pterocarya hupehensis,species
3012298,Sorbus scopulina Greene,Sorbus scopulina,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Sorbus,Sorbus scopulina,6,7707728,220,691,5015,3012146,3012298,FALSE,Magnoliopsida,Sorbus scopulina,plants,1776,Sorbus scopulina,species
3012723,Sorbus subsimilis Hedl.,Sorbus subsimilis,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Hedlundia,Hedlundia subsimilis,6,7707728,220,691,5015,9665832,9277407,TRUE,Magnoliopsida,Sorbus subsimilis,plants,1777,Sorbus subsimilis,species
7457689,Sorbus ulleungensis Chin S.Chang,Sorbus ulleungensis,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Sorbus,Sorbus commixta,6,7707728,220,691,5015,3012146,3012906,TRUE,Magnoliopsida,Sorbus ulleungensis,plants,1778,Sorbus ulleungensis,species
3686281,Staphylea colchica Stev.,Staphylea colchica,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Crossosomatales,Staphyleaceae,Staphylea,Staphylea colchica,6,7707728,220,7222036,6656,3190465,3686281,FALSE,Magnoliopsida,Staphylea colchica,plants,1779,Staphylea colchica,species
7798451,Terminalia molinetii Maza,Terminalia molinetii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia molinetii,6,7707728,220,690,2431,3189387,7798451,FALSE,Magnoliopsida,Terminalia molinetii,plants,1780,Terminalia molinetii,species
7310494,Pterocarya macroptera Batalin,Pterocarya macroptera,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Fagales,Juglandaceae,Pterocarya,Pterocarya macroptera,6,7707728,220,1354,2499,3054376,7310494,FALSE,Magnoliopsida,Pterocarya macroptera,plants,1781,Pterocarya macroptera,species
2880862,Quercus ×cerrioides Willk. & Costa,Quercus cerrioides,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus cerrioides,6,7707728,220,1354,4689,2877951,2880862,FALSE,Magnoliopsida,Quercus cerrioides,plants,1782,Quercus cerrioides,species
2880130,Quercus petraea (Matt.) Liebl.,Quercus petraea,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus petraea,6,7707728,220,1354,4689,2877951,2880130,FALSE,Magnoliopsida,Quercus petraea,plants,1783,Quercus petraea,species
