scientific_name,tree_id,common_name,status,selectree_url
Hesperocyparis sargentii,1555,SARGENT CYPRESS,Existing,https://selectree.calpoly.edu/tree-detail/1555
Hesperocyparis stephensonii,1556,CUYAMACA CYPRESS,Existing,https://selectree.calpoly.edu/tree-detail/1556
Phytolacca dioica,1558,OMBU,Existing,https://selectree.calpoly.edu/tree-detail/1558
Pinus ponderosa var. washoensis,1559,WASHOE PINE,Existing,https://selectree.calpoly.edu/tree-detail/1559
Quercus x morehus,1560,ORACLE OAK,Existing,https://selectree.calpoly.edu/tree-detail/1560
Quercus parvula var. shrevei,1561,SHREVE OAK,Existing,https://selectree.calpoly.edu/tree-detail/1561
Rhododendron arboreum,1562,TREE RHODODENDRON,Existing,https://selectree.calpoly.edu/tree-detail/1562
Rhus integrifolia,1563,LEMONADE BERRY,Existing,https://selectree.calpoly.edu/tree-detail/1563
Rhus ovata,1564,SUGAR BUSH,Existing,https://selectree.calpoly.edu/tree-detail/1564
Salix laevigata,1565,RED WILLOW,Existing,https://selectree.calpoly.edu/tree-detail/1565
Salix lasiandra,1566,PACIFIC WILLOW,Existing,https://selectree.calpoly.edu/tree-detail/1566
Staphylea bolanderi,1567,SIERRA BLADDERNUT,Existing,https://selectree.calpoly.edu/tree-detail/1567
Yucca schidigera,1568,MOHAVE YUCCA,Existing,https://selectree.calpoly.edu/tree-detail/1568
Quercus x munzii,1569,MUNZ'S OAK,Existing,https://selectree.calpoly.edu/tree-detail/1569
Crataegus viridis,1570,GREEN HAWTHORN,Existing,https://selectree.calpoly.edu/tree-detail/1570
Morus rubra,1571,RED MULBERRY,Existing,https://selectree.calpoly.edu/tree-detail/1571
Phyllostachys nigra,1572,BLACK BAMBOO,Existing,https://selectree.calpoly.edu/tree-detail/1572
Erythrostemon mexicanus,1573,MEXICAN BIRD OF PARADISE,Existing,https://selectree.calpoly.edu/tree-detail/1573
Quercus frainetto,1575,HUNGARIAN OAK,Existing,https://selectree.calpoly.edu/tree-detail/1575
Zelkova serrata 'Musashino',1576,MUSASHINO SAWLEAF ZELKOVA,Existing,https://selectree.calpoly.edu/tree-detail/1576
Eucalyptus cylindrocarpa,1579,WOODLINE MALEE,Existing,https://selectree.calpoly.edu/tree-detail/1579
Persea americana 'Bacon',1580,BACON AVOCADO,Existing,https://selectree.calpoly.edu/tree-detail/1580
Quercus gambelii,1581,GAMBEL OAK,Existing,https://selectree.calpoly.edu/tree-detail/1581
Salix alba,1583,WHITE WILLOW,Existing,https://selectree.calpoly.edu/tree-detail/1583
Liquidambar styraciflua 'Slender Silhouette',1584,SLENDER SILHOUETTE SWEETGUM,Existing,https://selectree.calpoly.edu/tree-detail/1584
Acer saccharum 'Autumn Splendor',1586,AUTUMN SPLENDOR SUGAR MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/1586
Betula nigra 'Dura Heat',1587,DURA HEAT RIVER BIRCH,Existing,https://selectree.calpoly.edu/tree-detail/1587
Cercis chinensis 'Avondale',1588,AVONDALE CHINESE REDBUD,Existing,https://selectree.calpoly.edu/tree-detail/1588
Platanus mexicana,1589,MEXICAN SYCAMORE,Existing,https://selectree.calpoly.edu/tree-detail/1589
Parkinsonia x 'Desert Museum',1591,DESERT MUSEUM PALO VERDE,Existing,https://selectree.calpoly.edu/tree-detail/1591
Allocasuarina torulosa,1592,FOREST OAK,Existing,https://selectree.calpoly.edu/tree-detail/1592
Corymbia torelliana,1593,CADAGI GUM,Existing,https://selectree.calpoly.edu/tree-detail/1593
Cupressus cashmeriana,1594,KASHMIR CYPRESS,Existing,https://selectree.calpoly.edu/tree-detail/1594
Zelkova serrata 'City Sprite',1595,CITY SPRITE ZELKOVA,Existing,https://selectree.calpoly.edu/tree-detail/1595
Zelkova serrata 'Wireless',1596,WIRELESS ZELKOVA,Existing,https://selectree.calpoly.edu/tree-detail/1596
Eucalyptus nutans,1598,RED FLOWERED MOORT,Existing,https://selectree.calpoly.edu/tree-detail/1598
Elaeocarpus sylvestris,1599,JAPANESE BLUEBERRY TREE,Existing,https://selectree.calpoly.edu/tree-detail/1599
Ficus sur,1600,CAPE FIG,Existing,https://selectree.calpoly.edu/tree-detail/1600
Melaleuca decora,1602,WHITE FEATHER HONEY MYRTLE,Existing,https://selectree.calpoly.edu/tree-detail/1602
Pistacia x 'Red Push',1604,RED PUSH PISTACHE,Existing,https://selectree.calpoly.edu/tree-detail/1604
Prosopis glandulosa 'Maverick',1605,THORNLESS HONEY MESQUITE,Existing,https://selectree.calpoly.edu/tree-detail/1605
Quercus canbyi,1606,CHISOS OAK,Existing,https://selectree.calpoly.edu/tree-detail/1606
Quercus fusiformis,1608,ESCARPMENT LIVE OAK,Existing,https://selectree.calpoly.edu/tree-detail/1608
Alectryon excelsus,1610,TITOKI,Existing,https://selectree.calpoly.edu/tree-detail/1610
Ulmus 'Morton Accolade',1611,ACCOLADE ELM,Existing,https://selectree.calpoly.edu/tree-detail/1611
Ulmus davidiana var. japonica 'Emerald Sunshine',1612,EMERALD SUNSHINE ELM,Existing,https://selectree.calpoly.edu/tree-detail/1612
Liquidambar styraciflua 'Emerald Sentinal',1613,EMERALD SENTINAL SWEETGUM,Existing,https://selectree.calpoly.edu/tree-detail/1613
Liquidambar styraciflua 'Gold Dust',1614,GOLD DUST SWEETGUM,Existing,https://selectree.calpoly.edu/tree-detail/1614
Liquidambar styraciflua 'Worplesdon',1615,WORPLESDON SWEETGUM,Existing,https://selectree.calpoly.edu/tree-detail/1615
Rhus typhina 'Laciniata',1616,LACELEAF STAGHORN SUMAC,Existing,https://selectree.calpoly.edu/tree-detail/1616
Maclura pomifera 'White Shield',1617,WHITE SHIELD OSAGE ORANGE,Existing,https://selectree.calpoly.edu/tree-detail/1617
Chilopsis linearis 'Bubba',1618,BUBBA DESERT WILLOW,Existing,https://selectree.calpoly.edu/tree-detail/1618
Juglans x paradox,1621,PARADOX WALNUT,Existing,https://selectree.calpoly.edu/tree-detail/1621
Celtis pallida,1636,DESERT HACKBERRY,Existing,https://selectree.calpoly.edu/tree-detail/1636
Psydrax odorata,1685,ALAHE'E,Existing,https://selectree.calpoly.edu/tree-detail/1685
Banksia integrifolia,1694,COAST BANKSIA,Existing,https://selectree.calpoly.edu/tree-detail/1694
Quercus hypoleucoides,1695,SILVERLEAF OAK,Existing,https://selectree.calpoly.edu/tree-detail/1695
